strength_config,regime,top8_title_share,ladder,teams_per_drafter,policy,n_eval_tournaments,spearman_mean,spearman_sd,spearman_undefined_frac,skill_variance_share,sigma2_between,sigma2_within,top_tie_rate,winning_score_mean,winning_score_sd,winning_score_p05,winning_score_p95,slot_win_prob_spread,slot_chi2_uniform,champion_undrafted_rate,p_champion_holder_wins,br_slot,slot1_win_prob,slot2_win_prob,slot3_win_prob,slot4_win_prob,slot5_win_prob,slot6_win_prob
synthetic_x0.5,resampled,0.6475799999999999,triangular,4,ev_greedy,50000,0.0282228514618721,0.44923540621042024,0.0,0.0013343228234925708,0.10867638944444441,81.47766496833334,0.03772,29.15772,5.788399122520837,22.0,40.0,0.03616666666666668,0.0049621645333333365,0.07428,0.8343379567615837,-1,0.18977,0.17056333333333332,0.16638666666666665,0.15360333333333331,0.1571833333333333,0.16249333333333335
synthetic_x0.5,resampled,0.6475799999999999,triangular,4,variance,50000,0.03325439437732493,0.45024650700826424,0.0,0.0015276259698192556,0.12530245111111105,81.91841506666667,0.0388,29.18274,5.801974327106248,22.0,40.0,0.030666666666666675,0.003925806666666665,0.07434,0.833419758154542,-1,0.18758333333333332,0.17114,0.16511333333333333,0.15691666666666665,0.15941,0.15983666666666668
synthetic_x0.5,resampled,0.6475799999999999,triangular,5,ev_greedy,50000,0.0345579268710306,0.449060130333602,0.0,0.0018980853537865462,0.1681177708333333,88.39645194166667,0.04216,31.64688,5.9687541636090184,24.0,43.0,0.036775,0.005725325999999997,0.03362,0.7892099036265927,-1,0.19148666666666667,0.17148166666666664,0.16746166666666665,0.15471166666666666,0.15680166666666667,0.15805666666666668
synthetic_x0.5,resampled,0.6475799999999999,triangular,5,variance,50000,0.04020241950448456,0.44948171893379607,0.0,0.0020998991227276827,0.1877898055555554,89.26499308666668,0.04226,31.72698,6.009143040367736,24.0,43.0,0.033116666666666655,0.0047561710666666635,0.03372,0.7914993583640353,-1,0.18908666666666665,0.17148,0.16747333333333336,0.15883333333333333,0.15715666666666667,0.15597
synthetic_x0.5,resampled,0.6475799999999999,triangular,6,ev_greedy,50000,0.02463702682138397,0.4461487422622767,0.0,0.0010325469409747101,0.09650303611111109,93.36886994666668,0.042,33.6088,6.0682948642926045,26.0,45.0,0.027483333333333304,0.002778389966666658,0.0107,0.7575272077900198,-1,0.18459666666666663,0.16842,0.16615333333333332,0.15711333333333333,0.16125166666666668,0.162465
synthetic_x0.5,resampled,0.6475799999999999,triangular,6,variance,50000,0.030152561459220725,0.4473057185357044,0.0,0.0012882280892961271,0.12139113916666655,94.20850260499999,0.04398,33.68364,6.1201304193946715,25.950000000000273,45.0,0.02348,0.0024400021333333315,0.0108,0.758451273756571,-1,0.18361666666666665,0.16866333333333333,0.1663,0.16061666666666669,0.16066666666666665,0.16013666666666665
synthetic_x0.5,resampled,0.6475799999999999,triangular,8,ev_greedy,50000,0.03258660038631787,0.4462065271065207,0.0,0.0014240589243192708,0.13954645999999993,97.92583491666666,0.0422,35.76778,6.186327979633798,27.0,47.0,0.028310000000000002,0.0033206285333333323,0.0,0.7296566666666666,-1,0.18547333333333332,0.16925,0.1687833333333333,0.15716333333333332,0.15932333333333332,0.16000666666666669
synthetic_x0.5,resampled,0.6475799999999999,triangular,8,variance,50000,0.03525094949761521,0.4459299213758892,0.0,0.0016773237653826822,0.16599713333333327,98.90760837000002,0.0431,35.86068,6.208219546504456,27.0,48.0,0.026643333333333352,0.0030970599333333387,0.0,0.7298133333333334,-1,0.18452833333333335,0.17072833333333332,0.16769333333333333,0.16060666666666665,0.157885,0.15855833333333333
synthetic_x0.5,resampled,0.6475799999999999,geometric,4,ev_greedy,50000,0.03265355615179394,0.4496341906678313,0.0,0.0018845827844981857,0.27511233277777797,145.67673263833333,0.0023,37.22712,7.056977859225576,22.0,50.0,0.047850000000000004,0.009522710399999997,0.07414,0.9994599615492623,-1,0.19863,0.17359,0.16641666666666668,0.15078,0.1535166666666667,0.15706666666666666
synthetic_x0.5,resampled,0.6475799999999999,geometric,4,variance,50000,0.03343058615104062,0.45090060593328424,0.0,0.0020054340623406348,0.29353467000000005,145.97361215833334,0.00286,37.23794,7.099546785281438,21.0,50.0,0.04422000000000001,0.008688199466666664,0.07456,0.9994489107883817,-1,0.1976,0.17467666666666665,0.16246333333333332,0.15478333333333333,0.15338,0.1570966666666667
